date,platform,followers,reach_impressions,engagement,posts_published
2025-07-01,facebook,1200,1436,225,0
2025-07-01,twitter,800,4059,61,2
2025-07-01,youtube,500,0,36,0
2025-07-01,instagram,1500,1298,427,0
2025-07-02,facebook,1205,1533,130,0
2025-07-02,twitter,804,3557,69,3
2025-07-02,youtube,502,0,15,0
2025-07-02,instagram,1538,1124,229,1
2025-07-03,facebook,1240,1870,194,2
2025-07-03,twitter,802,3076,112,3
2025-07-03,youtube,516,0,46,0
2025-07-03,instagram,1544,2760,203,0
2025-07-04,facebook,1188,1271,83,1
2025-07-04,twitter,839,1930,42,2
2025-07-04,youtube,524,0,39,0
2025-07-04,instagram,1542,1837,388,0
2025-07-05,facebook,1276,1901,50,3
2025-07-05,twitter,848,4118,121,4
2025-07-05,youtube,524,0,42,0
2025-07-05,instagram,1504,1814,108,1
2025-07-06,facebook,1215,1952,239,2
2025-07-06,twitter,850,2947,36,2
2025-07-06,youtube,540,0,47,0
2025-07-06,instagram,1490,2496,261,0
2025-07-07,facebook,1200,1168,60,1
2025-07-07,twitter,812,2082,106,4
2025-07-07,youtube,530,0,34,0
2025-07-07,instagram,1722,1873,411,0
2025-07-08,facebook,1326,1918,133,3
2025-07-08,twitter,828,2145,60,4
2025-07-08,youtube,521,0,17,0
2025-07-08,instagram,1472,1032,224,2
2025-07-09,facebook,1352,625,124,1
2025-07-09,twitter,776,1282,25,2
2025-07-09,youtube,564,0,33,0
2025-07-09,instagram,1564,991,318,1
2025-07-10,facebook,1227,1053,79,3
2025-07-10,twitter,926,4136,90,1
2025-07-10,youtube,536,0,21,0
2025-07-10,instagram,1806,2022,405,0
2025-07-11,facebook,1130,754,124,0
2025-07-11,twitter,790,2158,75,5
2025-07-11,youtube,530,0,34,0
2025-07-11,instagram,1590,1774,180,2
2025-07-12,facebook,1387,1262,152,0
2025-07-12,twitter,877,3639,110,2
2025-07-12,youtube,544,0,14,0
2025-07-12,instagram,1544,2459,120,0
2025-07-13,facebook,1512,1385,183,2
2025-07-13,twitter,800,4930,90,2
2025-07-13,youtube,584,0,34,0
2025-07-13,instagram,1572,2357,234,1
2025-07-14,facebook,1096,1507,126,3
2025-07-14,twitter,878,4585,123,4
2025-07-14,youtube,500,0,42,0
2025-07-14,instagram,1812,2141,497,2
2025-07-15,facebook,1256,1100,275,3
2025-07-15,twitter,856,4819,31,3
2025-07-15,youtube,542,0,38,0
2025-07-15,instagram,1906,1558,256,1
2025-07-16,facebook,1620,1428,105,0
2025-07-16,twitter,800,4533,140,5
2025-07-16,youtube,515,0,16,0
2025-07-16,instagram,1605,964,157,1
2025-07-17,facebook,1232,1293,149,2
2025-07-17,twitter,896,2363,107,1
2025-07-17,youtube,532,0,32,0
2025-07-17,instagram,1564,2864,333,2
2025-07-18,facebook,1285,1052,187,0
2025-07-18,twitter,800,3431,98,3
2025-07-18,youtube,619,0,46,0
2025-07-18,instagram,1415,1461,490,2
2025-07-19,facebook,1056,1091,99,1
2025-07-19,twitter,800,4419,88,2
2025-07-19,youtube,590,0,50,0
2025-07-19,instagram,1518,1288,154,1
2025-07-20,facebook,1029,1396,155,3
2025-07-20,twitter,781,3042,113,4
2025-07-20,youtube,576,0,15,0
2025-07-20,instagram,1766,2410,392,0
2025-07-21,facebook,1800,776,213,0
2025-07-21,twitter,1040,4491,33,5
2025-07-21,youtube,560,0,37,0
2025-07-21,instagram,1760,2741,404,1
2025-07-22,facebook,1494,814,107,0
2025-07-22,twitter,905,3169,58,2
2025-07-22,youtube,500,0,38,0
2025-07-22,instagram,1521,1134,458,1
2025-07-23,facebook,1398,1540,228,2
2025-07-23,twitter,734,2142,101,3
2025-07-23,youtube,544,0,10,0
2025-07-23,instagram,2182,1814,484,2
2025-07-24,facebook,1844,1313,247,3
2025-07-24,twitter,892,3290,64,4
2025-07-24,youtube,661,0,38,0
2025-07-24,instagram,1385,1841,109,0
2025-07-25,facebook,1848,1091,57,1
2025-07-25,twitter,992,1070,22,2
2025-07-25,youtube,548,0,45,0
2025-07-25,instagram,1380,2878,357,0
2025-07-26,facebook,1625,1473,111,2
2025-07-26,twitter,1200,2134,113,1
2025-07-26,youtube,675,0,47,0
2025-07-26,instagram,1975,2393,351,1
2025-07-27,facebook,1408,1693,201,3
2025-07-27,twitter,800,3551,135,5
2025-07-27,youtube,760,0,41,0
2025-07-27,instagram,1734,1947,288,0
2025-07-28,facebook,1632,1325,286,1
2025-07-28,twitter,800,4927,84,2
2025-07-28,youtube,608,0,41,0
2025-07-28,instagram,1743,2840,161,2
2025-07-29,facebook,1172,599,56,2
2025-07-29,twitter,828,4591,141,4
2025-07-29,youtube,752,0,40,0
2025-07-29,instagram,2536,1200,196,0
2025-07-30,facebook,1345,1863,210,3
2025-07-30,twitter,713,4837,53,3
2025-07-30,youtube,558,0,40,0
2025-07-30,instagram,1529,2004,114,1
